follower,following,timestap,tweet,user_name
297,369,Thu Oct 25 13:56:46 +0000 2018,"RT @RanupsProSandi: #AksiBelaKalimatTauhid 
Pekanbaru bergerak!
25.10.18 
 Saatnya kita bersatu demi #IndonesiaAdilMakmur
#2019GantiPreside…",Kriwil90
74,588,Thu Oct 25 13:56:46 +0000 2018,"RT @RajaAngku: Minta maaf tapi tetap nyeyel, ya gak menyelesaikan masalah donk qut! Sama aja bodong

Dasar ormas pendukung 
#RezimSontoloyo…",ivan_dhiela
1516,63,Thu Oct 25 13:56:46 +0000 2018,"RT @CakKhum: Polisi menangkap pembawa bendera berkalimat tauhid, yg dinyatakan sebagai bendera HTI, pada perayaan Hari Santri Nasional (HSN…",Kenzo_Hamtaro
75,220,Thu Oct 25 13:56:44 +0000 2018,"RT @RanupsProSandi: Intruksikan 2016 harga daging sapi dibawah 80 ribu per kg?

Hasilnya  #4TahunDibohongi #PolitikusSONTOLOYO

Kerja Kerja…",One13273257
48,229,Thu Oct 25 13:56:42 +0000 2018,"RT @RanupsProSandi: Ya Allah!
Tegas sekali Eyang Permadi sampaikan bhw #SayaPancasila #SayaIndonesia adalah sebuah KEBODOHAN yg akan diazab…",KaswanMaulana1
1304,1099,Thu Oct 25 13:56:41 +0000 2018,"RT @MSAokepunya: Polling YAQUT vs YAKULT

✅YAQUT
kemasan BANSER
✅YAKULT
kemasan BOTOL PLASTIK

Menurut anda lebih berharga mana antara GUS…",Qulo002
50,116,Thu Oct 25 13:56:40 +0000 2018,"RT @nieke_aereta: Jalan-jalan ke Italia
Sungguh indah panoramanya
Jangan lupa kamu semua
Pilih Prabowo dan Sandiaga

Reply tuitku pk Pantun…",karyo_ono
519,757,Thu Oct 25 13:56:39 +0000 2018,"RT @1910AntiCebong: Menurut kalian Ormas Mana yg lebih di percaya dan di cintai oleh umat Islam saat ini :

FPI : Reetweet / RT
Banser : LI…",b8f1e443c13a4e8
225,296,Thu Oct 25 13:56:38 +0000 2018,"RT @MasPresidenBaru: Menyamakan mereka dengan orang lain (tokoh hebat) itu tanda Tidak Percaya Diri.

Tapi Rakyat bisa membedakan, Bung Kar…",BoyHaris3
146,348,Thu Oct 25 13:56:37 +0000 2018,"RT @RajaPurwa: Hah @aniesbaswedan dipecat gara-gara 23 T?  Ya amypun...! 

Sebar? jangan!... Sebar? jangan!... Jangan disebar dech bro, kes…",NdutSupri
957,871,Thu Oct 25 13:56:34 +0000 2018,"Saya tambahin ya min... 

#PolitikusSONTOLOYO
#PartaiSontoloyoIndonesia 

InshaAllah 2019 mereka punah &amp; digantikan… https://t.co/8gbZDWg4Mr",rahmanidha16
737,3826,Thu Oct 25 13:56:32 +0000 2018,"RT @CakKhum: Polisi menangkap pembawa bendera berkalimat tauhid, yg dinyatakan sebagai bendera HTI, pada perayaan Hari Santri Nasional (HSN…",armenr77
27,36,Thu Oct 25 13:56:29 +0000 2018,"RT @nieke_aereta: Jalan-jalan ke Italia
Sungguh indah panoramanya
Jangan lupa kamu semua
Pilih Prabowo dan Sandiaga

Reply tuitku pk Pantun…",SuwandiSopandi
880,478,Thu Oct 25 13:56:23 +0000 2018,"RT @elfizal: Ternyata Bukan Hanya bendera Tauhid warna hitam yg mereka razia!

Warna Putih juga!
Lalu ini lambang HTI juga? 😁😁😁

Banser bik…",umay_patria
441,859,Thu Oct 25 13:56:21 +0000 2018,@TPK_RI Pak Lanyalla meninggalakan PSSI ALHAMDULILLAH PSSI LEBIH MAJU dan senang nonton TimNas main...Pak La Nyalla… https://t.co/UPajcWRgZR,NovriyantoYanto
767,1164,Thu Oct 25 13:56:21 +0000 2018,"RT @RajaAngku: Mulai ngakui nie... :-)
Sekarang ini impor lebih besar drpd ekspor, ya defisit terus... 

#2019GantiPresiden https://t.co/8x…",YusrilFadh
368,524,Thu Oct 25 13:56:20 +0000 2018,"RT @elfizal: Ternyata Bukan Hanya bendera Tauhid warna hitam yg mereka razia!

Warna Putih juga!
Lalu ini lambang HTI juga? 😁😁😁

Banser bik…",hapi_remaco
68,453,Thu Oct 25 13:56:17 +0000 2018,"RT @BangPino_: Part l :

Masya Allah, Sejarah ttg Bendera Tauhid itu luar biasa...

Dengarkan, Pandangan Beliau secara Helicopter view dan…",Al08920404
379,337,Thu Oct 25 13:56:07 +0000 2018,RT @MSAokepunya: Kuis #2019GantiPresiden edisi Jumat 26 Oktober 2018 dengan hadiah batik keren #2019PrabowoPresiden https://t.co/sw0oNEAqJ4,212peoplepower
296,517,Thu Oct 25 13:55:59 +0000 2018,"RT @RajaPurwa: Pak, katanya dulu pas debat capres 2014 pake programmer 2 minggu jadi! Pegimana sich!

Lah skrng sekarang nyalahin 21 tahun…",supiaman_asep
13170,9123,Thu Oct 25 13:55:55 +0000 2018,"RT @nieke_aereta: Jalan-jalan ke Italia
Sungguh indah panoramanya
Jangan lupa kamu semua
Pilih Prabowo dan Sandiaga

Reply tuitku pk Pantun…",asboediono
225,296,Thu Oct 25 13:55:54 +0000 2018,"RT @abanda_raja: Presiden Instruksikan 2016 harga daging sapi dibawah 80 ribu per kg?

Beginilah #BapakHoaxNasional #PolitisiSontoloyo
Beke…",BoyHaris3
99,384,Thu Oct 25 13:55:51 +0000 2018,"RT @RajaPurwa: Pak, katanya dulu pas debat capres 2014 pake programmer 2 minggu jadi! Pegimana sich!

Lah skrng sekarang nyalahin 21 tahun…",tnurharyanti
170,325,Thu Oct 25 13:55:50 +0000 2018,"RT @RelawanProSandi: Ustad Adi Hidayat bicara tentang Pembakaran Bendera Tauhid :
""Kita setiap Muslim menyayangkan Peristiwa dimaksud, seti…",ibnu_hr2010
243,773,Thu Oct 25 13:55:49 +0000 2018,"RT @RelawanProSandi: Ustad Adi Hidayat bicara tentang Pembakaran Bendera Tauhid :
""Kita setiap Muslim menyayangkan Peristiwa dimaksud, seti…",Bilal63054585
56,241,Thu Oct 25 13:55:49 +0000 2018,"RT @CakKhum: Jokowi Sebut Data Beras Berantakan Sejak Era Soeharto

Seperti biasa, melempar ke pendahulunya.
#2019GantiPresiden #PrabowoSan…",ujangnurman2
1106,492,Thu Oct 25 13:55:45 +0000 2018,"RT @1910AntiCebong: Menurut kalian Ormas Mana yg lebih di percaya dan di cintai oleh umat Islam saat ini :

FPI : Reetweet / RT
Banser : LI…",DameriatiZein
568,703,Thu Oct 25 13:55:43 +0000 2018,RT @MSAokepunya: Kuis #2019GantiPresiden edisi Jumat 26 Oktober 2018 dengan hadiah batik keren #2019PrabowoPresiden https://t.co/sw0oNEAqJ4,khalsa86_mdn
225,296,Thu Oct 25 13:55:43 +0000 2018,"RT @CakKhum: Polisi menangkap pembawa bendera berkalimat tauhid, yg dinyatakan sebagai bendera HTI, pada perayaan Hari Santri Nasional (HSN…",BoyHaris3
